73969 [2017-05-28 16:20:22,545] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //*[@id='tab-panel-spa']/form/div[5]/button
74000 [2017-05-28 16:20:22,576] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //*[@id='tab-panel-spa']/form/div[5]/button
74000 [2017-05-28 16:20:22,576] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully located element: btn_booking_magnet_search
77164 [2017-05-28 16:20:25,740] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully clicked on: btn_booking_magnet_search
77166 [2017-05-28 16:20:25,742] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Inside waitForElementToBeVisible() function...
77166 [2017-05-28 16:20:25,742] [ERROR] [com.aem.genericutilities.CommonFunctions ] - Locator value is not found in properties file for locator key: //div[@class='searchresult']
77166 [2017-05-28 16:20:25,742] [ERROR] [com.aem.genericutilities.CommonFunctions ] - Locator value is not found in properties file for locator key: //div[@class='searchresult']
77166 [2017-05-28 16:20:25,742] [ERROR] [com.aem.genericutilities.CommonFunctions ] - 
77197 [2017-05-28 16:20:25,773] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Landed on Search Results Page
79307 [2017-05-28 16:20:27,883] [INFO ] [application.CustomListner ] - Scenario execution ended..
79955 [2017-05-28 16:20:28,531] [INFO ] [application.CustomListner ] - Test run finsihed..true
0    [2017-05-28 17:12:20,403] [INFO ] [application.CustomListner ] - Scenario execution started..
539  [2017-05-28 17:12:20,942] [INFO ] [browsers.FirefoxBrowser ] - configured lower version of selenium below selenium 3...
37363 [2017-05-28 17:12:57,766] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
46676 [2017-05-28 17:13:07,079] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
56010 [2017-05-28 17:13:16,413] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
78998 [2017-05-28 17:13:39,401] [INFO ] [application.CustomListner ] - Scenario execution ended..
81085 [2017-05-28 17:13:41,488] [INFO ] [application.CustomListner ] - Test run finsihed..false
0    [2017-05-28 17:14:52,569] [INFO ] [application.CustomListner ] - Scenario execution started..
203  [2017-05-28 17:14:52,772] [INFO ] [browsers.FirefoxBrowser ] - configured lower version of selenium below selenium 3...
20409 [2017-05-28 17:15:12,978] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
29564 [2017-05-28 17:15:22,133] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
38750 [2017-05-28 17:15:31,319] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
52009 [2017-05-28 17:15:44,578] [INFO ] [application.CustomListner ] - Scenario execution ended..
52746 [2017-05-28 17:15:45,315] [INFO ] [application.CustomListner ] - Test run finsihed..false
0    [2017-05-28 17:17:41,892] [INFO ] [application.CustomListner ] - Scenario execution started..
235  [2017-05-28 17:17:42,127] [INFO ] [browsers.FirefoxBrowser ] - configured lower version of selenium below selenium 3...
20389 [2017-05-28 17:18:02,281] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
29541 [2017-05-28 17:18:11,433] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
38668 [2017-05-28 17:18:20,560] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
52538 [2017-05-28 17:18:34,430] [INFO ] [application.CustomListner ] - Scenario execution ended..
53155 [2017-05-28 17:18:35,047] [INFO ] [application.CustomListner ] - Test run finsihed..false
0    [2017-05-28 17:19:30,173] [INFO ] [application.CustomListner ] - Scenario execution started..
234  [2017-05-28 17:19:30,407] [INFO ] [browsers.FirefoxBrowser ] - configured lower version of selenium below selenium 3...
20600 [2017-05-28 17:19:50,773] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
29745 [2017-05-28 17:19:59,918] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
38880 [2017-05-28 17:20:09,053] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
52943 [2017-05-28 17:20:23,116] [INFO ] [application.CustomListner ] - Scenario execution ended..
53729 [2017-05-28 17:20:23,902] [INFO ] [application.CustomListner ] - Test run finsihed..false
0    [2017-05-28 17:21:44,279] [INFO ] [application.CustomListner ] - Scenario execution started..
36605 [2017-05-28 17:22:20,884] [INFO ] [browsers.FirefoxBrowser ] - configured lower version of selenium below selenium 3...
0    [2017-05-28 17:26:47,110] [INFO ] [application.CustomListner ] - Scenario execution started..
0    [2017-05-28 17:26:47,110] [INFO ] [com.aem.genericutilities.ScreenRecording ] - starting to record..
49286 [2017-05-28 17:27:36,396] [INFO ] [browsers.FirefoxBrowser ] - configured lower version of selenium below selenium 3...
70538 [2017-05-28 17:27:57,648] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
79736 [2017-05-28 17:28:06,846] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
88907 [2017-05-28 17:28:16,017] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
104152 [2017-05-28 17:28:31,262] [INFO ] [application.CustomListner ] - Scenario execution ended..
104153 [2017-05-28 17:28:31,263] [INFO ] [com.aem.genericutilities.ScreenRecording ] - stopping recording...
154528 [2017-05-28 17:29:21,638] [INFO ] [application.CustomListner ] - Test run finsihed..true
0    [2017-05-28 17:49:22,067] [INFO ] [application.CustomListner ] - Scenario execution started..
0    [2017-05-28 17:49:22,067] [INFO ] [com.aem.genericutilities.ScreenRecording ] - starting to record..
370  [2017-05-28 17:49:22,437] [INFO ] [browsers.FirefoxBrowser ] - configured lower version of selenium below selenium 3...
23608 [2017-05-28 17:49:45,675] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
32831 [2017-05-28 17:49:54,898] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
41998 [2017-05-28 17:50:04,065] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
57870 [2017-05-28 17:50:19,937] [INFO ] [application.CustomListner ] - Scenario execution ended..
57871 [2017-05-28 17:50:19,938] [INFO ] [com.aem.genericutilities.ScreenRecording ] - stopping recording...
58657 [2017-05-28 17:50:20,724] [INFO ] [application.CustomListner ] - Test run finsihed..true
0    [2017-05-28 17:59:42,299] [INFO ] [application.CustomListner ] - Scenario execution started..
2    [2017-05-28 17:59:42,301] [INFO ] [com.aem.genericutilities.ScreenRecording ] - starting to record..
534  [2017-05-28 17:59:42,833] [INFO ] [browsers.FirefoxBrowser ] - configured lower version of selenium below selenium 3...
23208 [2017-05-28 18:00:05,507] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
32377 [2017-05-28 18:00:14,676] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
41580 [2017-05-28 18:00:23,879] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
57084 [2017-05-28 18:00:39,383] [INFO ] [application.CustomListner ] - Scenario execution ended..
57084 [2017-05-28 18:00:39,383] [INFO ] [com.aem.genericutilities.ScreenRecording ] - stopping recording...
57762 [2017-05-28 18:00:40,061] [INFO ] [application.CustomListner ] - Test run finsihed..true
0    [2017-05-28 18:03:47,788] [INFO ] [application.CustomListner ] - Scenario execution started..
16   [2017-05-28 18:03:47,804] [INFO ] [com.aem.genericutilities.ScreenRecording ] - starting to record..
277  [2017-05-28 18:03:48,065] [INFO ] [browsers.FirefoxBrowser ] - configured lower version of selenium below selenium 3...
23344 [2017-05-28 18:04:11,132] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
32537 [2017-05-28 18:04:20,325] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
41724 [2017-05-28 18:04:29,512] [INFO ] [com.aem.genericutilities.locatorfactory.LocateByComposition ] - located the element...
58200 [2017-05-28 18:04:45,988] [INFO ] [application.CustomListner ] - Scenario execution ended..
58200 [2017-05-28 18:04:45,988] [INFO ] [com.aem.genericutilities.ScreenRecording ] - stopping recording...
58853 [2017-05-28 18:04:46,641] [INFO ] [application.CustomListner ] - Test run finsihed..true
0    [2017-05-28 18:07:09,114] [INFO ] [application.CustomListner ] - Scenario execution started..
0    [2017-05-28 18:07:09,114] [INFO ] [com.aem.genericutilities.ScreenRecording ] - starting to record..
519  [2017-05-28 18:07:09,633] [INFO ] [browsers.FirefoxBrowser ] - configured lower version of selenium below selenium 3...
23564 [2017-05-28 18:07:32,678] [INFO ] [application.CustomListner ] - Test failed..
23569 [2017-05-28 18:07:32,683] [INFO ] [application.CustomListner ] - Test failed..
23725 [2017-05-28 18:07:32,839] [INFO ] [application.CustomListner ] - Scenario execution ended..
23725 [2017-05-28 18:07:32,839] [INFO ] [com.aem.genericutilities.ScreenRecording ] - stopping recording...
24554 [2017-05-28 18:07:33,668] [INFO ] [application.CustomListner ] - Test run finsihed..false
0    [2017-05-28 18:09:47,319] [INFO ] [application.CustomListner ] - Scenario execution started..
0    [2017-05-28 18:09:47,319] [INFO ] [com.aem.genericutilities.ScreenRecording ] - starting to record..
498  [2017-05-28 18:09:47,817] [INFO ] [browsers.FirefoxBrowser ] - configured lower version of selenium below selenium 3...
15233 [2017-05-28 18:10:02,552] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Wait for Page load completed..
15259 [2017-05-28 18:10:02,578] [INFO ] [com.aem.genericutilities.CommonFunctions ] - opened the required page..
15272 [2017-05-28 18:10:02,591] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Wait for Page load completed..
15294 [2017-05-28 18:10:02,613] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Locator value is found in properties file for locator key: tab_spaday
15418 [2017-05-28 18:10:02,737] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //section[contains(@class,'b-magnet')]//button[contains(@class,'b-tabs__list-link') and contains(text(),'Spa Days')]
15418 [2017-05-28 18:10:02,737] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully locate element: tab_spaday
15419 [2017-05-28 18:10:02,738] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Booking Magnet is present
15421 [2017-05-28 18:10:02,740] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Clicking on Webelement..tab_spaday
15421 [2017-05-28 18:10:02,740] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Inside getObjectFromRepo() function...
15421 [2017-05-28 18:10:02,740] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Locator value is found in properties file for locator key: tab_spaday
15421 [2017-05-28 18:10:02,740] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Only one locator exists..
15463 [2017-05-28 18:10:02,782] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //section[contains(@class,'b-magnet')]//button[contains(@class,'b-tabs__list-link') and contains(text(),'Spa Days')]
15505 [2017-05-28 18:10:02,824] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //section[contains(@class,'b-magnet')]//button[contains(@class,'b-tabs__list-link') and contains(text(),'Spa Days')]
15505 [2017-05-28 18:10:02,824] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully located element: tab_spaday
15619 [2017-05-28 18:10:02,938] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Successfully clicked on: tab_spaday
15677 [2017-05-28 18:10:02,996] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //form[@name='spadayForm']//select[@name='villageCode']
21005 [2017-05-28 18:10:08,324] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Selected the expected value from drop down...
25008 [2017-05-28 18:10:12,327] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Locator value is found in properties file for locator key: input_calendar
25008 [2017-05-28 18:10:12,327] [INFO ] [com.aem.genericutilities.CommonFunctions ] - Only one locator exists..
25057 [2017-05-28 18:10:12,376] [INFO ] [com.aem.genericutilities.CommonFunctions ] - WebElement located with using xpath : //div[*[@id='spaDayDatePicker']]
